,municipio,link,pp,pp_porcentaje,vox,vox_porcentaje,mas_madrid,mas_madrid_porcentaje,psoe,psoe_porcentaje,podemos_iu,podemos_iu_porcentaje,cs,cs_porcentaje,pacma,pacma_porcentaje,fe_de_las_jons,fe_de_las_jons_porcentaje,pcte,pcte_porcentaje,ph,ph_porcentaje,3e_en_accion,3e_en_accion_porcentaje,eb,eb_porcentaje,partido_autonomos,partido_autonomos_porcentaje,p_lib,p_lib_porcentaje,udec,udec_porcentaje,pum+j,pum+j_porcentaje,volt,volt_porcentaje,recortes_cero_pcas_tc_gv_m,recortes_cero_pcas_tc_gv_m_porcentaje,pcoe_pcpe,pcoe_pcpe_porcentaje,pole,pole_porcentaje,escrutado,votos_totales,votos_totales_porcentaje,abstencion,abstencion_porcentaje,votos_nulos,votos_nulos_porcentaje,votos_blancos,votos_blancos_porcentaje,geometry,pp_share,rel_pp_share,psoe_share,rel_psoe_share,pp_psoe,otros_partidos,pp_psoe_share,rel_pp_psoe_share,otros_partidos_share,rel_otros_partidos_share,derecha,izquierda,derecha_share,rel_derecha_share,izquierda_share,rel_izquierda_share,mas_madrid_share,rel_mas_madrid_share,podemos_iu_share,rel_podemos_iu_share,abstencion_share,rel_abstencion_share,votos_totales_share,rel_votos_totales_share
138,Somosierra,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/143.html,32.0,55.17,2.0,3.45,6.0,10.34,11.0,18.97,4.0,6.9,2.0,3.45,0.0,0.0,0.0,0.0,1.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,58.0,76.32,18.0,23.68,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((-3.547241926193237 41.13496398925781, -3.549037933349496 41.12479400634777, -3.557523012161255 41.11669921875006, -3.565408945083561 41.11389541625977, -3.572818040847778 41.11825561523442, -3.576459884643555 41.11793899536138, -3.582871913909912 41.12075424194336, -3.58975696563715 41.11959457397461, -3.589853048324585 41.12489700317377, -3.59337592124939 41.12589645385742, -3.597428083419743 41.12494659423839, -3.598603963851872 41.13239288330089, -3.59169411659235 41.13490676879888, -3.592696905136108 41.14710617065435, -3.594983100891113 41.15210342407232, -3.602619886398315 41.14940643310541, -3.613569021224919 41.14908599853516, -3.600194931030216 41.15524291992192, -3.591629981994629 41.15431976318371, -3.589962005615234 41.15829086303711, -3.58338189125061 41.16107177734375, -3.569005012512207 41.15943908691411, -3.557439088821411 41.1644515991212, -3.539695978164673 41.16501235961913, -3.536463975906315 41.16037750244146, -3.540471076965275 41.15051651000977, -3.547911882400456 41.13827514648443, -3.547241926193237 41.13496398925781)))",0.5517241379310345,0.8421052631578947,0.1896551724137931,0.2558139534883721,43.0,14.0,0.7413793103448276,0.9347826086956522,0.2413793103448276,0.24561403508771928,36.0,21.0,0.6206896551724138,0.631578947368421,0.3620689655172414,0.3684210526315789,0.10344827586206896,0.6,0.06896551724137931,0.4,0.3103448275862069,0.23684210526315788,1.0,0.7631578947368421
139,Soto del Real,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/144.html,2514.0,46.71,612.0,11.37,716.0,13.3,985.0,18.3,277.0,5.15,197.0,3.66,18.0,0.33,1.0,0.02,1.0,0.02,3.0,0.06,0.0,0.0,5.0,0.09,1.0,0.02,0.0,0.0,3.0,0.06,5.0,0.09,1.0,0.02,4.0,0.07,1.0,0.02,0.0,0.0,100.0,5420.0,80.62,1303.0,19.38,38.0,0.7,38.0,0.71,"MULTIPOLYGON (((-3.801549911499023 40.71176528930658, -3.802315950393563 40.71741867065435, -3.808326005935669 40.72390747070312, -3.814905881881657 40.74015045166015, -3.818562030792237 40.73982620239258, -3.830544948577881 40.79300689697271, -3.836771965026855 40.80183792114258, -3.839473009109497 40.81379699707037, -3.834995985031071 40.81518173217773, -3.827749013900757 40.81497955322271, -3.82812309265131 40.80876922607422, -3.813478946685791 40.7960205078125, -3.813971042633056 40.78691101074224, -3.811894893646183 40.78567886352544, -3.811235904693547 40.77925109863281, -3.807198047637882 40.77753448486328, -3.802623987197876 40.77061843872076, -3.783859014511052 40.77007293701172, -3.771250963211002 40.76386260986334, -3.763947010040283 40.76130676269531, -3.759803056716862 40.7615852355957, -3.758577108383179 40.75886535644537, -3.738881111145019 40.74441909790039, -3.732847929000854 40.73545455932617, -3.732700109481812 40.73048400878912, -3.735975027084351 40.73221969604492, -3.74842095375061 40.72595214843761, -3.758157968521061 40.71680068969732, -3.765182018280029 40.71400451660156, -3.772933006286507 40.70448303222656, -3.782818078994694 40.70458221435558, -3.787429094314576 40.70903778076172, -3.801549911499023 40.71176528930658)))",0.46383763837638375,0.778328173374613,0.18173431734317344,0.2815090025721635,3499.0,1802.0,0.6455719557195572,0.8107043558850788,0.3324723247232472,0.339935861158272,3323.0,1978.0,0.6130996309963099,0.6268628560648934,0.36494464944649446,0.3731371439351066,0.13210332103321032,0.7210473313192346,0.0511070110701107,0.27895266868076535,0.24040590405904058,0.1938122861817641,1.0,0.806187713818236
140,Talamanca de Jarama,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/145.html,874.0,42.59,218.0,10.62,314.0,15.3,384.0,18.71,157.0,7.65,66.0,3.22,11.0,0.54,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,2.0,0.1,0.0,0.0,1.0,0.05,0.0,0.0,2.0,0.1,3.0,0.15,2.0,0.1,1.0,0.05,0.0,0.0,100.0,2071.0,74.85,696.0,25.15,19.0,0.92,15.0,0.73,"MULTIPOLYGON (((-3.448434114456176 40.73290252685547, -3.445158958434944 40.72280120849609, -3.438133001327457 40.73489761352539, -3.434103012084961 40.73077011108404, -3.437766075134277 40.722412109375, -3.442095994949341 40.72003555297852, -3.446346998214721 40.71465301513678, -3.455674886703491 40.7093162536621, -3.45671892166132 40.70423126220697, -3.462899923324528 40.69773864746104, -3.461599111557006 40.69269943237299, -3.467396974563599 40.69260406494135, -3.467412948608342 40.68972015380871, -3.469472885131836 40.68990325927746, -3.469374895095825 40.69290161132818, -3.474432945251351 40.69345855712896, -3.475260019302368 40.69490432739263, -3.473200082778873 40.70299530029303, -3.492913961410522 40.7087516784668, -3.499605894088745 40.71703720092779, -3.510458946227971 40.72271728515636, -3.516947984695434 40.72406768798822, -3.525765895843449 40.73275756835942, -3.530666112899723 40.73404693603516, -3.53932595252985 40.73283004760748, -3.544090032577458 40.73461532592785, -3.542066097259521 40.73474502563482, -3.535574913024902 40.74065780639654, -3.539104938507023 40.74512481689459, -3.536983013153019 40.74483108520508, -3.532938003539982 40.74720001220703, -3.534424066543579 40.75073242187511, -3.540254116058349 40.75250625610357, -3.53695797920227 40.75947952270508, -3.528923988342228 40.76220703125011, -3.523771047592163 40.76091003417969, -3.5084810256958 40.78169631958013, -3.510572910308837 40.78862380981457, -3.497096061706486 40.7886085510255, -3.500129938125554 40.78545379638683, -3.498562097549438 40.78484725952148, -3.500718116760254 40.78003692626959, -3.505978107452393 40.77973556518555, -3.506062030792236 40.77699279785162, -3.502603054046574 40.77535247802746, -3.503504991531372 40.77255630493175, -3.498483896255436 40.76517105102533, -3.495376110076904 40.76447296142589, -3.490031003952026 40.76760482788097, -3.487791061401367 40.76739883422857, -3.488568067550659 40.7650871276856, -3.485982894897461 40.76482772827148, -3.484363079070931 40.76040649414068, -3.488121032714844 40.75743484497076, -3.484380960464364 40.75467681884771, -3.478692054748535 40.74614334106445, -3.468029975891113 40.74420547485351, -3.463253021240234 40.74711227416992, -3.462722063064518 40.74384307861334, -3.457087993621712 40.74439239501959, -3.453396081924438 40.74315261840826, -3.450943946838379 40.7380104064942, -3.448434114456176 40.73290252685547)))",0.42201834862385323,0.7356902356902357,0.18541767262192177,0.3052464228934817,1258.0,755.0,0.607436021245775,0.7722529158993248,0.3645581844519556,0.3750620963735718,1158.0,855.0,0.5591501690004829,0.5752608047690015,0.41284403669724773,0.4247391952309985,0.15161757605021728,0.6666666666666666,0.07580878802510864,0.3333333333333333,0.33606953162723324,0.25153595952294905,1.0,0.748464040477051
141,Tielmes,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/146.html,600.0,46.62,158.0,12.28,127.0,9.87,294.0,22.84,78.0,6.06,13.0,1.01,3.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.0,5.0,0.39,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1302.0,71.42,521.0,28.58,15.0,1.15,7.0,0.54,"MULTIPOLYGON (((-3.270299911498967 40.21512603759771, -3.27827000617981 40.20971298217785, -3.297986030578613 40.19066238403332, -3.307503938674927 40.1992683410644, -3.308603048324528 40.20542144775401, -3.306679010391235 40.20911026000982, -3.310487985610961 40.21694564819347, -3.336045980453434 40.24031829833996, -3.335061073303223 40.25246429443365, -3.336457967758065 40.254550933838, -3.333020925521736 40.26350021362316, -3.319919109344425 40.26074218750011, -3.303632020950261 40.26058578491217, -3.285341978073063 40.26272583007812, -3.283413887023926 40.25707244873053, -3.284121990203857 40.24971771240229, -3.27963304519642 40.24717712402355, -3.278511047363281 40.23464202880854, -3.270299911498967 40.21512603759771)))",0.4608294930875576,0.8253094910591472,0.22580645161290322,0.3288590604026846,894.0,376.0,0.6866359447004609,0.9159836065573771,0.2887864823348694,0.29606299212598425,771.0,499.0,0.5921658986175116,0.6070866141732284,0.38325652841781876,0.39291338582677166,0.09754224270353302,0.6195121951219512,0.059907834101382486,0.3804878048780488,0.4001536098310292,0.28579264947888094,1.0,0.714207350521119
142,Titulcia,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/147.html,299.0,39.76,118.0,15.69,102.0,13.56,175.0,23.27,48.0,6.38,5.0,0.66,2.0,0.27,0.0,0.0,0.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,0.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,100.0,762.0,75.37,249.0,24.63,10.0,1.31,0.0,0.0,"MULTIPOLYGON (((-3.557909965515137 40.1254997253418, -3.562081098556518 40.12622070312506, -3.575061082839965 40.12181091308599, -3.578825950622501 40.12561416625988, -3.577980995178223 40.12979888916016, -3.584542036056461 40.12859344482416, -3.583823919296265 40.13386917114258, -3.580811023712158 40.13697433471685, -3.570914983749276 40.14246368408214, -3.573842048644962 40.14716339111328, -3.565808057785034 40.15098571777349, -3.565521001815795 40.15462112426769, -3.561562061309814 40.15994262695312, -3.564012050628605 40.16500473022467, -3.561799049377441 40.17145538330089, -3.547154903411808 40.16878890991211, -3.545083045959473 40.1564445495606, -3.542488098144531 40.15210723876953, -3.535547971725463 40.14899444580089, -3.550790071487426 40.14195251464838, -3.555818080902042 40.13659286499029, -3.554460048675537 40.13282394409185, -3.556524991989135 40.13255310058605, -3.557909965515137 40.1254997253418)))",0.39238845144356954,0.7456359102244389,0.22965879265091863,0.3691983122362869,474.0,273.0,0.6220472440944882,0.8286713286713286,0.35826771653543305,0.3654618473895582,422.0,325.0,0.5538057742782152,0.5649263721552878,0.42650918635170604,0.4350736278447122,0.13385826771653545,0.68,0.06299212598425197,0.32,0.32677165354330706,0.24629080118694363,1.0,0.7537091988130564
143,Torrejón de Ardoz,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/148.html,30496.0,45.55,5606.0,8.37,11024.0,16.47,11767.0,17.58,4849.0,7.24,2018.0,3.01,409.0,0.61,21.0,0.03,38.0,0.06,18.0,0.03,45.0,0.07,58.0,0.09,20.0,0.03,13.0,0.02,21.0,0.03,43.0,0.06,26.0,0.04,27.0,0.04,14.0,0.02,11.0,0.02,100.0,67478.0,75.03,22452.0,24.97,527.0,0.78,427.0,0.64,"MULTIPOLYGON (((-3.447077989578247 40.4462509155274, -3.452821969985962 40.4411735534668, -3.461250066757202 40.43716812133789, -3.465987920761051 40.43711090087896, -3.466782093048096 40.43406295776362, -3.468148946762028 40.43570709228515, -3.47370791435236 40.43475723266607, -3.473685026168766 40.43346023559582, -3.48210597038269 40.43046188354492, -3.489964962005615 40.44112777709961, -3.488228082656804 40.44575881958008, -3.489151000976562 40.45434951782232, -3.497096061706486 40.46983718872076, -3.495289087295475 40.47103500366222, -3.496361970901432 40.4726448059082, -3.498423099517765 40.47193908691406, -3.476406097412109 40.48814392089843, -3.479779005050659 40.49452590942377, -3.468322038650513 40.49310302734374, -3.449670076370239 40.50419616699218, -3.43400502204895 40.50925445556652, -3.429342031478768 40.51095581054693, -3.427901983261108 40.49216842651373, -3.429800033569336 40.49203491210943, -3.430629968643132 40.48894500732422, -3.425146102905273 40.47257614135754, -3.42817497253418 40.4720687866212, -3.428817987441959 40.46923828125011, -3.433212041854858 40.46662521362315, -3.430454015731811 40.46158218383789, -3.447077989578247 40.4462509155274)))",0.4519398915201992,0.7344894026974952,0.17438276178902753,0.2784232070605494,42263.0,23497.0,0.6263226533092268,0.7827496156909229,0.3482171967159667,0.35731447688564477,38120.0,27640.0,0.5649248644002489,0.579683698296837,0.4096149856249444,0.42031630170316303,0.16337176561249592,0.6945126945126945,0.07186045822342096,0.30548730548730546,0.33273066777320015,0.24966084732569777,1.0,0.7503391526743023
144,Torrejón de Velasco,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/150.html,1343.0,50.02,373.0,13.89,386.0,14.38,307.0,11.43,192.0,7.15,47.0,1.75,11.0,0.41,1.0,0.04,2.0,0.07,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.04,0.0,0.0,0.0,0.0,2.0,0.07,1.0,0.04,2.0,0.07,0.0,0.0,0.0,0.0,100.0,2708.0,79.74,688.0,20.26,23.0,0.85,16.0,0.6,"MULTIPOLYGON (((-3.771778106689396 40.13958740234381, -3.772334098815861 40.14209747314464, -3.778125047683659 40.14758300781256, -3.778899908065739 40.15583038330089, -3.78421497344965 40.16271591186529, -3.800069093704223 40.17570495605463, -3.795573949813786 40.18906784057623, -3.794365882873535 40.19034957885741, -3.791166067123299 40.18999862670904, -3.790079116821176 40.19543075561535, -3.786283969879151 40.19442367553717, -3.785808086395207 40.19685745239263, -3.783063888549805 40.19728851318359, -3.78307104110712 40.20206451416016, -3.781313896179142 40.20345687866205, -3.777605056762695 40.20298385620123, -3.779587984085026 40.20978164672852, -3.775285005569458 40.20866775512695, -3.774043083190861 40.20991897583018, -3.765065908432007 40.20692443847662, -3.759114980697575 40.20752334594727, -3.755958080291691 40.21089553833002, -3.745074987411499 40.20125198364263, -3.739794969558659 40.20497894287115, -3.736855030059814 40.21132278442383, -3.733247041702214 40.21118545532232, -3.713948965072631 40.20555877685553, -3.699841022491455 40.19909286499023, -3.708682060241699 40.17921829223644, -3.699400901794376 40.16528701782238, -3.699862003326359 40.16105651855469, -3.713321924209595 40.14674758911138, -3.718051910400391 40.14653778076172, -3.720567941665649 40.14796447753912, -3.723573923110961 40.14711761474609, -3.742042064666691 40.134189605713, -3.745029926299935 40.13265609741222, -3.771778106689396 40.13958740234381)))",0.49593796159527326,0.7767495662232504,0.11336779911373708,0.18606060606060607,1650.0,998.0,0.6093057607090103,0.7048269970098249,0.3685376661742984,0.3768882175226586,1763.0,885.0,0.6510339734121122,0.665785498489426,0.32680945347119644,0.334214501510574,0.14254062038404727,0.6678200692041523,0.07090103397341212,0.33217993079584773,0.25406203840472674,0.20259128386336867,1.0,0.7974087161366313
145,Torrejón de la Calzada,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/149.html,2340.0,46.19,663.0,13.09,781.0,15.42,695.0,13.72,312.0,6.16,187.0,3.69,31.0,0.61,0.0,0.0,3.0,0.06,0.0,0.0,2.0,0.04,7.0,0.14,4.0,0.08,3.0,0.06,1.0,0.02,7.0,0.14,4.0,0.08,5.0,0.1,0.0,0.0,1.0,0.02,100.0,5125.0,77.77,1465.0,22.23,59.0,1.15,20.0,0.39,"MULTIPOLYGON (((-3.779587984085026 40.20978164672852, -3.777605056762695 40.20298385620123, -3.781313896179142 40.20345687866205, -3.78307104110712 40.20206451416016, -3.783063888549805 40.19728851318359, -3.785808086395207 40.19685745239263, -3.786283969879151 40.19442367553717, -3.790079116821176 40.19543075561535, -3.791166067123299 40.18999862670904, -3.794365882873535 40.19034957885741, -3.795573949813786 40.18906784057623, -3.800069093704223 40.17570495605463, -3.805984973907471 40.17750167846691, -3.80373811721796 40.18899536132818, -3.808442115783634 40.1895637512207, -3.807523965835571 40.19522094726562, -3.812275886535531 40.19580078125, -3.813465118408146 40.20384597778315, -3.820533037185669 40.20543670654308, -3.806708097457828 40.21558761596685, -3.80314302444458 40.22028732299805, -3.799262046813965 40.22314453125011, -3.789176940917968 40.22194290161144, -3.791086912155095 40.21730804443359, -3.784838914871216 40.21576309204107, -3.78392291069025 40.2139244079591, -3.780352115631047 40.21288681030279, -3.779587984085026 40.20978164672852)))",0.45658536585365855,0.74975969240628,0.13560975609756099,0.22899505766062603,3035.0,1943.0,0.5921951219512195,0.7086154564557553,0.3791219512195122,0.39031739654479713,3190.0,1788.0,0.6224390243902439,0.6408196062675774,0.3488780487804878,0.35918039373242266,0.15239024390243902,0.7145471180237878,0.0608780487804878,0.28545288197621227,0.28585365853658534,0.22230652503793627,1.0,0.7776934749620638
146,Torrelaguna,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/151.html,1038.0,43.98,226.0,9.58,315.0,13.35,526.0,22.29,165.0,6.99,56.0,2.37,9.0,0.38,1.0,0.04,0.0,0.0,1.0,0.04,0.0,0.0,3.0,0.13,0.0,0.0,1.0,0.04,0.0,0.0,1.0,0.04,2.0,0.08,3.0,0.13,1.0,0.04,0.0,0.0,100.0,2390.0,72.05,927.0,27.95,30.0,1.26,12.0,0.51,"MULTIPOLYGON (((-3.574843883514347 40.79099655151373, -3.578696012496891 40.7990837097169, -3.571646928787175 40.82018280029308, -3.577399015426635 40.82172012329107, -3.580187082290649 40.8313827514649, -3.585057020187264 40.83356475830077, -3.5884850025177 40.83356475830077, -3.595117092132512 40.82867431640631, -3.596189022064209 40.8329315185548, -3.60446906089777 40.84225845336913, -3.598912000656127 40.84583663940441, -3.575778961181641 40.84820556640636, -3.571192979812508 40.85041427612316, -3.555253028869572 40.85799789428716, -3.547154903411808 40.85581970214855, -3.54069805145258 40.86269760131836, -3.537184000015202 40.86238861083984, -3.520823955535889 40.84479141235357, -3.51133394241333 40.83850860595697, -3.510894060134831 40.83680725097656, -3.513031959533691 40.83563613891607, -3.511374950408936 40.83441162109381, -3.513312101364136 40.83349990844727, -3.510715961456299 40.82296371459955, -3.504812955856323 40.81851196289062, -3.505012035369873 40.81644821167003, -3.511104106903076 40.81155776977539, -3.513391971588078 40.8039169311524, -3.511168003082275 40.80127716064464, -3.501903057098331 40.79724884033209, -3.50255298614502 40.78906250000011, -3.508277893066349 40.79088592529297, -3.510572910308837 40.78862380981457, -3.532290935516357 40.7877311706543, -3.532969951629582 40.7896385192871, -3.540369987487793 40.78873062133795, -3.558805942535344 40.79208374023443, -3.565783023834115 40.79035568237299, -3.574843883514347 40.79099655151373)))",0.43430962343096235,0.7671840354767184,0.2200836820083682,0.33631713554987214,1564.0,762.0,0.6543933054393305,0.8688888888888889,0.3188284518828452,0.3276010318142734,1320.0,1006.0,0.5523012552301255,0.5674978503869303,0.42092050209205023,0.43250214961306965,0.13179916317991633,0.65625,0.06903765690376569,0.34375,0.3878661087866109,0.27946940006029547,1.0,0.7205305999397046
147,Torrelodones,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/152.html,8065.0,56.14,1706.0,11.87,1697.0,11.81,1472.0,10.25,557.0,3.88,657.0,4.57,50.0,0.35,10.0,0.07,4.0,0.03,2.0,0.01,4.0,0.03,10.0,0.07,3.0,0.02,3.0,0.02,21.0,0.15,6.0,0.04,9.0,0.06,2.0,0.01,2.0,0.01,0.0,0.0,100.0,14425.0,82.9,2975.0,17.1,58.0,0.4,87.0,0.61,"MULTIPOLYGON (((-3.952661037445012 40.59727478027344, -3.918374061584472 40.593662261963, -3.900346040725651 40.58887481689452, -3.888968944549561 40.58818054199224, -3.883629083633366 40.58555603027355, -3.885327100753784 40.57447052001959, -3.890227079391479 40.57244110107416, -3.89524507522583 40.56785964965826, -3.905706882476807 40.56320190429693, -3.908977031707764 40.56482696533203, -3.919773101806641 40.55777740478516, -3.929267883300668 40.55772018432617, -3.931873083114567 40.55994033813471, -3.930090904235783 40.5539283752442, -3.932385921478271 40.55254745483398, -3.932192087173405 40.55052185058593, -3.934374094009399 40.55202102661138, -3.935992002487183 40.54866409301769, -3.942076921462899 40.54795837402349, -3.945439100265446 40.5510139465332, -3.9477059841156 40.55938720703131, -3.950160980224609 40.56013488769537, -3.951498985290527 40.55699920654297, -3.953604936599674 40.55722427368175, -3.953910112380981 40.56046295166015, -3.957207918167114 40.56227493286133, -3.957825899124089 40.56502532958984, -3.956470012664795 40.56761932373058, -3.959703922271728 40.57735061645508, -3.951545000076294 40.59529113769543, -3.952661037445012 40.59727478027344)))",0.5590987868284228,0.8261626715836918,0.10204506065857885,0.15434623047079796,9537.0,4617.0,0.6611438474870017,0.7520107238605898,0.32006932409012134,0.3261975413310725,10428.0,3726.0,0.7229116117850953,0.7367528613819415,0.25830155979202774,0.2632471386180585,0.11764298093587522,0.7528837622005324,0.03861351819757366,0.24711623779946762,0.20623916811091855,0.17097701149425287,1.0,0.8290229885057471
148,Torremocha de Jarama,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/153.html,179.0,30.34,46.0,7.8,127.0,21.53,94.0,15.93,107.0,18.14,20.0,3.39,2.0,0.34,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17,1.0,0.17,5.0,0.85,1.0,0.17,0.0,0.0,100.0,594.0,71.91,232.0,28.09,4.0,0.67,5.0,0.85,"MULTIPOLYGON (((-3.501903057098331 40.79724884033209, -3.511168003082275 40.80127716064464, -3.513391971588078 40.8039169311524, -3.511104106903076 40.81155776977539, -3.505012035369873 40.81644821167003, -3.504812955856323 40.81851196289062, -3.510715961456299 40.82296371459955, -3.513312101364136 40.83349990844727, -3.511374950408936 40.83441162109381, -3.513031959533691 40.83563613891607, -3.510894060134831 40.83680725097656, -3.51133394241333 40.83850860595697, -3.520823955535889 40.84479141235357, -3.537184000015202 40.86238861083984, -3.528158903121891 40.86898040771495, -3.52416801452631 40.87755584716808, -3.525393962860107 40.87190246582031, -3.521275997161865 40.86748886108404, -3.519874095916748 40.86259460449219, -3.518404006958008 40.86283493041987, -3.516222953796387 40.8600082397462, -3.514919042587223 40.85275268554693, -3.511063098907413 40.85095977783203, -3.509006977081298 40.84732818603516, -3.500505924224854 40.85120391845709, -3.487544059753418 40.85041427612316, -3.480504035949707 40.85459518432629, -3.471061944961491 40.85150527954107, -3.476686954498234 40.85150527954107, -3.470336914062443 40.84434127807617, -3.471137046813965 40.84182357788097, -3.478929042816162 40.83848571777355, -3.476218938827401 40.82625579833996, -3.481414079666081 40.81958389282227, -3.481491088867131 40.81560897827153, -3.49078989028925 40.80770874023443, -3.491142988204956 40.7994117736817, -3.494544029235783 40.79752349853516, -3.498656988143921 40.79925155639654, -3.501903057098331 40.79724884033209)))",0.30134680134680136,0.5849673202614379,0.15824915824915825,0.3443223443223443,273.0,300.0,0.4595959595959596,0.569937369519833,0.5050505050505051,0.5235602094240838,245.0,328.0,0.41245791245791247,0.42757417102966844,0.5521885521885522,0.5724258289703316,0.2138047138047138,0.5427350427350427,0.18013468013468015,0.45726495726495725,0.39057239057239057,0.28087167070217917,1.0,0.7191283292978208
149,Torres de la Alameda,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/154.html,1809.0,43.38,515.0,12.35,599.0,14.36,801.0,19.21,265.0,6.35,109.0,2.61,23.0,0.55,2.0,0.05,1.0,0.02,2.0,0.05,3.0,0.07,2.0,0.05,1.0,0.02,1.0,0.02,0.0,0.0,2.0,0.05,2.0,0.05,1.0,0.02,1.0,0.02,0.0,0.0,100.0,4218.0,75.96,1335.0,24.04,48.0,1.14,31.0,0.74,"MULTIPOLYGON (((-3.331125020980835 40.42420578002929, -3.327852010726872 40.41782760620129, -3.326699018478337 40.40863418579113, -3.322318077087346 40.40444183349609, -3.317275047302246 40.40444564819347, -3.312201023101693 40.40070343017584, -3.32221603393549 40.39530563354504, -3.324347019195557 40.38991165161138, -3.319583892822152 40.38413238525402, -3.323148012161254 40.38074493408197, -3.327719926833993 40.37863922119152, -3.336843013763371 40.377353668213, -3.351914882659855 40.36701202392572, -3.371689081191959 40.37512207031256, -3.400424003601017 40.40772628784191, -3.406903982162419 40.42125320434582, -3.411573886871224 40.4253387451173, -3.410273075103759 40.42656707763672, -3.413908004760742 40.43096923828125, -3.412477016448918 40.4358367919923, -3.416728973388615 40.43730926513677, -3.422316074371281 40.44242477417004, -3.417992115020695 40.44688034057617, -3.419019937515202 40.4511222839356, -3.423758029937687 40.45264434814464, -3.425663948059082 40.45165252685558, -3.426475048065072 40.45314788818365, -3.423535108566284 40.45634841918957, -3.419337034225407 40.45461654663097, -3.413779973983765 40.45624542236339, -3.408478975296021 40.45342636108403, -3.404095888137817 40.45001983642578, -3.396219015121403 40.45040893554688, -3.390961885452213 40.4484367370606, -3.348627090454102 40.42371368408203, -3.34033989906311 40.42108154296881, -3.331125020980835 40.42420578002929)))",0.42887624466571833,0.7512458471760798,0.18990042674253202,0.30689655172413793,2610.0,1488.0,0.6187766714082503,0.7916287534121929,0.352773826458037,0.363103953147877,2433.0,1665.0,0.5768136557610242,0.5937042459736457,0.39473684210526316,0.4062957540263543,0.14201043148411568,0.6932870370370371,0.06282598387861546,0.30671296296296297,0.31650071123755336,0.2404105888708806,1.0,0.7595894111291194
